%trk_id,qual,P_rng1,P_AZ,P_EL,P_HGT,P_TIME,M_rng1,M_AZ,M_EL,M_TIME,F_X,F_Y,F_Z,F_VX,F_VY,F_VZ,F_AX,F_AY,F_AZ,rng1_MIN,rng1_MAX,AZ_MIN,AZ_MAX,EL_MIN,EL_MAX,F_TIM
57,14,26.333929,320.780792,0.35024,0.160974,54426.06641,26.327171,320.919922,0.01,54426.05469,-16612.08984,20426.73047,49.251877,-12.703887,-12.09748,7.436909,0,0,0,24.607836,28.050648,319.88559,321.88559,0,2.51,54426.05469
57,14,26.328304,320.861145,0.115274,0.05297,54426.55469,26.324888,320.88504,0.01,54426.54688,-16610.83984,20423.76172,18.40741,-9.662138,-10.864636,-6.39127,0,0,0,25.002108,27.655857,319.880188,321.880188,0,2.607179,54426.54688
57,14,26.324684,320.862579,0.033108,0.015212,54427.04688,26.323982,320.948547,0.01,54427.03125,-16593.46289,20435.73633,7.625856,-0.775235,-3.898651,-9.426298,0,0,0,25.002108,27.655857,319.880188,321.880188,0,2.607179,54427.03125
57,14,26.322908,320.920685,0.1,0.045942,54427.53125,26.331816,320.878174,0.01,54427.49609,-16608.69922,20429.92773,4.115019,-6.717397,-5.44312,-8.945269,0,0,0,24.973866,27.67449,319.924011,321.924011,0,2.516598,54427.49609
57,14,26.329285,320.88089,0.1,0.045953,54427.99609,26.31982,320.835968,0.043087,54427.98828,-16619.23047,20412.66602,14.040855,-9.587393,-11.263035,-3.184626,0,0,0,24.973866,27.67449,319.924011,321.924011,0,2.516598,54427.98828
57,14,26.321198,320.832977,0.1,0.045939,54428.48828,26.319273,320.85498,0.01,54428.47266,-16617.55469,20410.52539,6.835742,-6.998886,-9.865881,-5.430235,0,0,0,24.929256,27.715818,319.848785,321.848785,0,2.530562,54428.47266
57,14,26.318201,320.835999,0.008971,0.004121,54428.97266,26.31971,320.802826,0.01,54429,-16630.18945,20399.55664,4.458628,-10.653996,-12.281492,-5.295005,0,0,0,24.929256,27.715818,319.848785,321.848785,0,2.530562,54429
57,14,26.317898,320.794861,0.1,0.045933,54429.5,26.320877,320.871216,0.012861,54429.49219,-16617.41797,20410.87891,4.738592,-3.412718,-5.292389,-4.123763,0,0,0,24.937731,27.700855,319.812286,321.812286,0,2.509706,54429.49219
57,14,26.319029,320.842896,0.005827,0.002677,54429.99219,26.308952,321.037415,0.427349,54429.97656,-16564.7207,20442.50391,141.012299,18.356468,8.423639,51.222527,0,0,0,24.937731,27.700855,319.812286,321.812286,0,2.509706,54429.97656
57,14,26.309351,321.003174,0.362871,0.166624,54430.47656,26.309059,320.885529,0.01,54430.49609,-16585.64844,20422.53125,50.81736,6.310003,-1.254896,4.889957,0,0,0,24.906706,27.716705,319.981873,321.981873,0,2.807067,54430.49609
